department	skill	source_path	source_commit	disposition	local_equivalents	destination	activation	sensitive	review	rationale
security	vulnerability-management	plugins/security/skills/vulnerability-management/SKILL.md	1f3f550	covered	security/security-test-scanner	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	ai-workflow-architect	plugins/technology/skills/ai-workflow-architect/SKILL.md	1f3f550	missing	-	organizations/technology/skills/ai-workflow-architect	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	api-design	plugins/technology/skills/api-design/SKILL.md	1f3f550	covered	backend/backend-development; backend/backend-development/references/backend-api-design.md	-	excluded	no	semantic-reviewed	Existing backend API workflow and reference materially cover capability
technology	branch-and-worktree-workflow	plugins/technology/skills/branch-and-worktree-workflow/SKILL.md	1f3f550	missing	-	organizations/technology/skills/branch-and-worktree-workflow	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	chief-technology-officer	plugins/technology/skills/chief-technology-officer/SKILL.md	1f3f550	missing	-	organizations/technology/skills/chief-technology-officer	explicit	no	boundary-review	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	cloud-infrastructure	plugins/technology/skills/cloud-infrastructure/SKILL.md	1f3f550	covered	devops/infrastructure-as-code-generator	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	code-review	plugins/technology/skills/code-review/SKILL.md	1f3f550	covered	core/code-review	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	completion-verification	plugins/technology/skills/completion-verification/SKILL.md	1f3f550	covered	core/verification-before-completion	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	implementation-planning	plugins/technology/skills/implementation-planning/SKILL.md	1f3f550	covered	core/writing-plans	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	observability-and-reliability	plugins/technology/skills/observability-and-reliability/SKILL.md	1f3f550	missing	-	organizations/technology/skills/observability-and-reliability	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	parallel-agent-delivery	plugins/technology/skills/parallel-agent-delivery/SKILL.md	1f3f550	missing	-	organizations/technology/skills/parallel-agent-delivery	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	prompt-optimizer	plugins/technology/skills/prompt-optimizer/SKILL.md	1f3f550	missing	-	organizations/technology/skills/prompt-optimizer	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	release-and-deployment	plugins/technology/skills/release-and-deployment/SKILL.md	1f3f550	covered	deployment; deploy; cicd	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	skill-authoring	plugins/technology/skills/skill-authoring/SKILL.md	1f3f550	covered	core/skill-creator	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	solution-architecture	plugins/technology/skills/solution-architecture/SKILL.md	1f3f550	missing	-	organizations/technology/skills/solution-architecture	candidate-auto	no	semantic-reviewed	Distinct technology workflow; no adequate local equivalent found in body-level comparison
technology	solution-exploration	plugins/technology/skills/solution-exploration/SKILL.md	1f3f550	covered	core/brainstorming	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	systematic-debugging	plugins/technology/skills/systematic-debugging/SKILL.md	1f3f550	covered	core/systematic-debugging	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	technical-debt-management	plugins/technology/skills/technical-debt-management/SKILL.md	1f3f550	covered	core/simplify; core/yagni-engineering-principle	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
technology	test-driven-development	plugins/technology/skills/test-driven-development/SKILL.md	1f3f550	covered	core/test-driven-development	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
